proverb	topic
Им хоть полы мой да пороги подтирай!	Человек
Им хоть лавки мой да дресвы подсыпай!	Человек
Он как оса лезет в глаза.	Человек
Сорок лет, а сорому нет. Жили, жили, а стыда не нажили.	Человек
У него ни на полушку совести нет.	Человек
Ни стыда, ни сорому, ни в котору сторону.	Человек
Стыд под каблук, а совесть под подошву.	Человек
Умри, коли стыда нет!	Человек
Убей бог стыд, все пойдет хорошо (все нипочем).	Человек
Отыми бог стыд, так будешь сыт.	Человек
Первое счастье — коли стыда в глазах нет.	Человек
Первый дар на роду, коли нет в глазах стыду.	Человек
Глазам-то стыдно, а душа-то рада (а душе отрадно).	Человек
Без стыда лица не износишь.	Человек
Без позору рожи не износить.	Человек
Коли стыдно, так закройся (так зажмурься)!	Человек
Не стыдно, коли никому не обидно.	Человек
Стыдиться жены, так и детей не видать (не видать детей).	Человек
Хоть чертом зови, да хлебом корми!	Человек
Хоть стыдно, да сытно. Стыдливому удачи не видать.	Человек
Стыдливый из-за стоа голодный встает.	Человек
Стыдливый кусочек со стола цел сходит.	Человек
Как сыт стал, так и стыд взял.	Человек
Стал сыт, так взял стыд (так и узнал стыд).	Человек
Когда наелся, тогда и застыдился. Стыдненько, да сытненько.	Человек
И стыдливый кусочек (т. е. последний) до поры лежит.	Человек
Как нет души, так что хошь пиши!	Человек
Семь в тебе душ, да ни в одной пути нет (двуличен).	Человек
У него совесть еще в прошлом году в бутылке задохлась.	Человек
Про его совесть можно сказать повесть.	Человек
У него совесть в рукавичках ходит.	Человек
У него совесть — дырявое решето. Заскорузлой совести не  проймешь.	Человек
У тебя совесть, что розвальни: садись да катись (просторно).	Человек
Ни бога не боится, ни людей не стыдится.	Человек
Твоя совесть, как лихая болесть (всяк ее бегает).	Человек
Душа христианская, да совесть-то цыганская.	Человек
У него совесть в голике (в кулаке, под порогом и пр.).	Человек
С его совестью и помирать не надо.	Человек
С его совестью жить хорошо, да умирать плохо.	Человек
Бесстыжа гостя пивом не выгнать. Бесстыжего гостя не пивом выживать.	Человек
Кто слова не боится, тому и плеть не страшна.	Человек
Свинья не боится креста, а боится песта.	Человек
Что душа, была бы пустошь хороша (о неправой тяжбе).	Человек
Чего нет за кожей, того не пришьешь к коже.	Человек
К кафтану (К коже) совести не пришьешь.	Человек
Невинная душа не причастна греху.	Человек
Неповинна душа не пристрашна греху.	Человек
Не ела душа чесноку — не будет и вонять.	Человек
Сухая рубашка к телу не льнет. Не было дегтю, так и не  горчит.	Человек
Кто и пива не пьет, тот пьян не живет.	Человек
Кто это такой — немазаный, сухой? (Человек).	Человек
С рожи — снаружи, с души — снутри.	Человек
Янга (жбан) костяные клёпки (т. е. человек).	Человек
Имя свое всяк знает, а в лицо себя никто не помнит.	Человек
Человек божий обшит кожей.	Человек
За кожей панциря нет. Терпи, голова, в кости скована.	Человек
В лесу лес не ровен, в миру — люди.	Человек
Человека под стать и масть не подберешь.	Человек
На стан, на облик нет образца.	Человек
Не ростом взял, так дородством.	Человек
Не велик, да широк, кафтан короток.	Человек
Наша попадья, что широкая ладья.	Человек
Сам копной, брюхо горой. Копна копной — так и  переваливается.	Человек
Толст, как бочка. Майорское брюхо (пузо).	Человек
Его черт ядрами кормит. Копной набит, в кожу зашит.	Человек
Поперек себя толще. Пяти четвертей в отрубе.	Человек
И бородавка телу прибавка. Бородавка — и то телу прибавка.	Человек
Как похудел, чуть не лопнет.	Человек
Ровна (Пряма), как талька, как веретенце, как сосенка.	Человек
Выросла, как тополька. Вытянулся в струнку (в хворостинку, в  лутоху). Жердяй, в плечах лба поуже.	Человек
Худ — как треска, как жердь, как спичка; в спичку высох, в  щепку, в нитку.	Человек
В нитку вытянулся. Кости да кожа.	Человек
Глиста глистой.	Человек
Хорош, пригож, на лиху болесть похож.	Человек
В чем душа держится. Краше в гроб кладут.	Человек
Как яичко сквозит. На солнышке просвечивает.	Человек
Сморщился, как гриб. Сморчок сморчком.	Человек
Костлява, как тарань. Кости, что крючья, хоть хомуты вешай.	Человек
Кости глядят, а мяса не видать. Одни кости да кожа.	Человек
Хоть костлива, да счастлива. И не красива, да счастлива.	Человек
Кость да жила, а все сила. Пожилина туга, и лук крепок.	Человек
Как чубук в чехле болтается.	Человек
Бледен, как смерть. Побледнел, ровно скатерть.	Человек
Рожа красная, хоть онучи суши. Рожа — клюковка, глаза — луковки.	Человек
Коломенская верста (от старых, семисотых верст).	Человек
Экой большой, с неделю вырос!	Человек
Словно аршин проглотил. Так торцом и ходит.	Человек
Много ль тебя в земле, а на земле не много.	Человек
Коротыш тянется — не дотянется; долгай гнется — пояснице  тяжко.	Человек
Беда пыжику: на него и с кровли каплет; беда и остолопу:  рук-ног девать некуда.	Человек
Рылом не вышел (т. е. некрасив).	Человек
Гороховое чучело. Воронье пугало. Поставить да воробьев  пугать.	Человек
Торчит меж людей, как пугало в горохе.	Человек
Попал в люди, как пест в ложки.	Человек
Как торчилом меж людей и торчит.	Человек
С твоей рожей только детей пугать.	Человек
Хорош, перед чертом, как куколка.	Человек
Такая красава, что в окно глянет — конь прянет; на двор  выйдет — три дня собаки лают.	Человек
Знать, его подменили, урода подкинули.	Человек
Ряб, будто черти у него на роже в свайку играли. Будто черти  на нем горох молотили.	Человек
На харе хоть топоры точи. Рожа теркою, нос бороздилом.	Человек
Рожа — хоть репу сей, хоть морковь сажай (щедровитая).	Человек
Рожа вспахана, только посеять да заборонить.	Человек
Рожа моя рожа, на что ты похожа (на черта похожа)!	Человек
Такая рожа, что только сама на себя и похожа (и дружки не  подберешь).	Человек
На рябом хлеб сеют, а на гладком навоз кладут (о пашне).	Человек
Щедровит, да не болит (т. е. здоров).	Человек
Гладкие-то есть, а рытые-то в честь (и наоборот).	Человек
Много красы: одни скулы да усы.	Человек
Хороша рожа — коли есть на ней кожа (а без кожи непригожа).	Человек
Экой красавец: под носом румянец, во всю щеку лишай.	Человек
Шитая рожа, вязеный нос.	Человек
На лихом кожа, а на хорошем лопни рожа (т. е. тот тощ, а  этот плотен).	Человек
С твоей бы рожей — сидел бы под рогожей.	Человек
С посконной рожей в красные ряды не суйся!	Человек
С рожей из-под рогожи, да бархат гладит.	Человек
С твоей ли рожей в собор к обедне? Шел бы в приходскую.	Человек
Не свиным рылом лимоны нюхать.	Человек
Не к роже платочек, утрись рукавичкой!	Человек
Ни рожи, ни кожи, ни виденья.	Человек
Во что поцеловать — и на то наплевать.	Человек
Во рту калина, а в носу малина.	Человек
Нос курнос, а рыло дудкой. Нос крючком, борода клочком.	Человек
Упрямому дубина, горбатому (т. е. уроду) могила.	Человек
Упрямого исправит дубина, а горбатого могила.	Человек
Горбат, так виноват, да бог простит.	Человек
Горбун прямика перехитрит. Горбун с запасцем.	Человек
Горбатый — вороватый. Чем горбатее, тем вороватее.	Человек
Кто конопляст, кто голенаст — а все божий да государев.	Человек
У конного солдата ноги лучком. Кривоногого — в свинопасы.	Человек
Не будь изроден, а будь пригоден.	Человек
Личиком беленек, да душой черненек.	Человек
Рожа крива (черна), да душа пряма (бела).	Человек
Плоха рожа, да душа гожа. Рожа не гожа, да душа пригожа.	Человек
Целуй и курноску, как прянишну доску!	Человек
Кто гладенек, тот и миленек.	Человек
Молодец, хоть во дворец. Красен человек статью.	Человек
Будто кровь с молоком. Не спрашивай здоровья, гляди в лицо.	Человек
Красна, как маков цвет. Кругла, бела, как мытая репка.	Человек
Девичье тельце — натрушено сенцо. Пух в атласе.	Человек
Краше цвету алого, белее снегу белого.	Человек
Алый цвет по лицу расстилается, белый пух по груди  рассыпается.	Человек
Из косточки в косточку, мозжечок переливается (т. е.  сквозит).	Человек
Грудь лебедина, походка павлина.	Человек
Сама собой миленька, личиком беленька.	Человек
Очи сокольи, брови собольи. Звездисты очи, рассыпчаты.	Человек
Глаза с поволокой, роток с позевотой.	Человек
Постоянная дама Варвара, с поволокою глаза; Василиса —  кислый квас.	Человек
Фетинья — белые белилы; Афимья — алые румяна (то же).	Человек
Руса коса до шелкова пояса. Коса — девичья краса.	Человек
Русы волосы сто рублей, буйна голова — тысяча, а всему  молодцу и цены нет.	Человек
Видно, она с серебра умывается (т. е. бела).	Человек
Голова с поклоном, язык с приговором, ноги с подходом, руки  с подносом.	Человек
Молодец к молодцу. Молодцами хоть мост мости.	Человек
Из куга по лавке — шелудяк наголо (о гостях).	Человек
Басок, да червоват (т. е. щеголь, да хил, плох).	Человек
Голова с пивной котел. Голова, что булава.	Человек
Семи пяденей во лбу. Промеж глаз калена стрела ляжет.	Человек
Хоть на голове-то густо, да в голове пусто.	Человек
У худой рожи — худой обычай. Обличье — улика.	Человек
Худое дерево растет в сук да в болону, а худой человек в  волос (в брюхо) да в бороду.	Человек
Каков черт от люльки, таков и в могилку.	Человек
Вся рожа наружу. Вывеска нехороша.	Человек
Такая рожа, что сама на оплеуху напрашивается.	Человек
Рожа, сама на себя не похожа. Глядишь, так с души воротит.	Человек
И по роже знать, что Сазоном звать.	Человек
Вавила красное рыло. Иван болван. Андрей ротозей. Федул губы  надул. Пахом — вся рожа в один ком.	Человек
И по рылу знать, что не из простых свиней.	Человек
Рыжих и во святых нет. Рыжему во святых не бывать.	Человек
Избави нас, боже, от лыса, коса, рыжа и кривоноса!	Человек
Черный волос — звонкий голос.	Человек
С черным в лес не ходи, с рыжим бани не топи!	Человек
С черным в лес не ходи, рыжему пальца в рот не клади, лысому  не верь, а с курчавым не вяжись!	Человек
Жесткий волос сварлив живет.	Человек
У тетушки Василисы дыбом волосы свилися.	Человек
За правду бог лица набавляет (т. е. доживая до старости,  лысеешь).	Человек
Плешивый — человек фальшивый.	Человек
На мерине лысина — не порок; на детине плешь — не укор.	Человек
Курчавый волос — кудрявые мысли.	Человек
Брови, что медведи лежат (густые). Брови застрехой  (навесом).	Человек
Брови нависли — злоба (дума) на мысли.	Человек
Перегораживать рот рукой (таимничать).	Человек
Глядит в бок, а говорит в сторону.	Человек
Ртом болезнь входит, а беда выходит.	Человек
Криворотый себе на уме. Криворот у ворот.	Человек
Кабы не дыра во рту — жил бы жил, ни о чем бы не тужил.	Человек
Один рот — и тот дерет. Одна была у волка песенка, и ту переняли  (о позевоте).	Человек
У него петух в горле засел (охрип).	Человек
Что брылы распустил? Подбери губы-те, городничий едет.	Человек
Брылы (губы) — хоть студень вари (велики, толсты).	Человек
Как козодой, коровье вымя обымет.	Человек
Рыло порото по самое ухо. Ласточкин роток.	Человек
Рот до ушей, хоть лягушку пришей.	Человек
Губы толсты — в трубачи ступай. Толстогубый курносому  сродни.	Человек
Зубы — копылья, губы — кобыльи.	Человек
Нос крючком, брови шатром, рот жемочком.	Человек
Этот нос — через Волгу мост. Этот нос сто лет рос.	Человек
Нос крючком, борода клочком. Нос, что и багра не надо.	Человек
То-то носина, словно соборное гасило.	Человек
Тот человек и дорог, у кого нос долог.	Человек
Эко чутье: этот нос собакой натерт.	Человек
Долгоносый себе на уме. Долгонос не прост. Сидор да Борис за  носы подрались.	Человек
Носом к носу встретились.	Человек
Чихнул — головой вихнул (вильнул).	Человек
Чох на правду. Спица в нос, не велика — с перст (на  чиханье).	Человек
Лоб широк, да мозгу мало. У него труха в голове.	Человек
Велик телом, да мал делом. Хорош, на погляденье.	Человек
Толста, толста, проста, проста. В родню толст, да не в родню  прост.	Человек
Его натощак (не пообедав) не обойдешь (т. е. толст).	Человек
Его в три охвата не обнимешь.	Человек
Рожей хорош, да не лизать ее стать.	Человек
С лица не воду пить. Хорошего не лизать, дурного не тесать.	Человек
На красивого глядеть хорошо, с умным жить легко.	Человек
Красота приглядится, а ум вперед пригодится.	Человек
Дал бы бог дородство, а красоту сама добуду (румяна).	Человек
С погляденья сыт не будешь.	Человек
Жить за чужой головой (под ответом, защитой, порукой).	Человек
Головушка, голова: буйная, удалая, разудалая, молодецкая,  забубенная, беззаботная и пр.	Человек
Когда б не зубы, так бы и душа вон.	Человек
Желудок не овчина: его не выворотишь.	Человек
Печенки отбить, отлежать. Не сердись: печенку испортишь.	Человек
Не хватило легких, так заговорил печенкой.	Человек
По становой (т. е. жиле) не бей!	Человек
Плеча могучие, широкие, молодецкие, богатырские.	Человек
У него руки долги (т. е. власти много). Руки не наставишь.	Человек
У него руки (пальцы) длинны (т. е. вор). Он нечист на руку.	Человек
Быть у кого под рукою (в подчинении, подданстве).	Человек
Своя рука владыка (т. е. своя доля). От рук отбиться.	Человек
Он у него правая рука (т. е. нужный, главный человек).	Человек
Быть в руке; быть за рукой. Моя рука (очередь).	Человек
Легкая, тяжелая рука. Свинцовая рука, железная лапа.	Человек
У меня легка рука, была бы шея толста (крепка).	Человек
У него в кулаке пуд. У него пудовый кулак.	Человек
У широкой лапы и плечо широко. Лапища по плечищу.	Человек
Бьет, как молотом кует. Кулак, что безмен.	Человек
Руки не поднимаются на него, — на это дело.	Человек
И как у тебя на него рука поднялась?	Человек
Руки не дошли, не доходят до дела (недосуг).	Человек
Наложить на себя руку (быть самоубийцей).	Человек
Рука руку моет (очищает). Дружлива рука с рукавичкой.	Человек
Рука об руку; рука в руку (дружно, заодно).	Человек
Прийтись по руке. Не к рукам пришлось. Не у рук дело  (товар).	Человек
У него всякое дело из рук валится (не валится).	Человек
Он работает только по конец пальцев; только б с рук долой.	Человек
Нам только с рук долой, а с ног — хоть собаки тащи.	Человек
Эта вещь (товар) нам рука, или не рука (годна, негодна).	Человек
Крупной, мелкой руки; первой, второй руки (разбора).	Человек
Далеко ли? — Рукой подать. Рукой достать. Руку протянуть.	Человек
Рука ноге работница (или: батрак: обувь делает и обувает).	Человек
Руки, как крюки. Руки, что грабли (словно бороны).	Человек
Адамова вилка (или: ложка, т. е. пальцы, горсть).	Человек
Руки граблями, ноги вилами. Руки сковородником, ноги  ухватом.	Человек
Наложить на кого руку. Загрести кого (что) под свою лапу.	Человек
Бить кого чужою рукою. Чужими руками жар загребать.	Человек
У него хороша (нехороша) рука (т. е. письмо).	Человек
Сидеть (Стоять), поджав руки. Руки в боки, глаза в потолоки.	Человек
Кто голенаст, а кто бедерчат. Развилистый долгоног.	Человек
У него ножки, как сошки. Ножки, что сошки, брюшко, как  волыночка. Ножки тоненьки, душа коротенька (курилка).	Человек
Ноги да руки — вот мои муки; а брюхо да живот — сохрани  господь (об еде и работе).	Человек
Ударить по рукам (дать слово, кончить дело).	Человек
Приложить руку (подписать). Отобрать заручную (подпись,  согласие).	Человек
Где рука, там и голова (т. е. дал слово — и отвечай).	Человек
Отбиваться от чего (противиться) и руками и ногами.	Человек
По рукам, по ногам связать (стеснить, отнять средства).	Человек
Он берет руками, а отдает ногами.	Человек
Через руку наливать (выворачивая кисть; дурная примета).	Человек
Она у нас глядит из рук (угождает).	Человек
Руки работают, а голова кормит.	Человек
В добрую голову сто рук (указчик и работник).	Человек
Глаза стращают, а руки делают. С руками нигде не пропадешь.	Человек
Рукам воли не давай! Языком болтай, а рукам воли не давай!	Человек
Не все сходит с рук. Что, до поры, с рук не сходило.	Человек
Которая рука крест кладет, та и нож точит.	Человек
Ноги обманут (т. е. не уйдешь), а руки до беды доведут (если  им волю дать).	Человек
Рука от руки погибает, а нога ногу подымает.	Человек
Нога ноге друг, а рука руке ворог.	Человек
Ноги носят, а руки кормят. Ноги с побежкой, руки с  подхватой.	Человек
И рука спит, и нога спит (о крепком сне).	Человек
Резвы ноги (колени) подломились, подсеклись, подкосились.	Человек
Скоморошьи ноги. Стрекозьи, паучиные ножки.	Человек
В ногах правды нет (от правежа? или о бегстве?).	Человек
На воде ноги жидки (не держат).	Человек
Не ноги кормят брюхо, а брюхо ноги.	Человек
Топтать кого ногами; затоптать в грязь.	Человек
Из милости башмачком до травки-муравки дотрогивается.	Человек
Конь бежит, земля дрожит (в шутку о неуклюжем топтыге).	Человек
Редьку садит (приседать на ходу).	Человек
Ножки, как лутошки (соломенны ножки).	Человек
Ножки скобками (или: оником) и ножки хером.	Человек
Борода — образ и подобие божие (раскольн.).	Человек
Борода в честь, а усы и у кошки есть. Ус в честь, а борода и  у козла есть.	Человек
Бородой в люди не выйдешь. Борода — трава, скосить можно.	Человек
Без рубля бороды не отрастишь (со врем. Петра I).	Человек
Борода делу не помеха.	Человек
Борода дороже головы (раскольн.).	Человек
Режь наши головы, не тронь наши бороды (раскольн.).	Человек
Железо глупо, а тело забористо (о бритье).	Человек
Борода лишняя тягота (Петр I).	Человек
Волос глуп, везде растет.	Человек
У нашей Федосьи из глаз растут волосьи.	Человек
Мудрость в голове, а не в бороде.	Человек
Борода — с посконное повесмо. Ус молодит, борода старит.	Человек
Мужичок с ноготок, а борода с локоток.	Человек
Борода с ворота, а ума и с прикалиток нету.	Человек
Сам с пядь, а борода с локоть. Сам с нос, борода с воз.	Человек
Старичок с кувшин, борода с аршин.	Человек
Борода выросла, а ума не вынесла. Бородастее белевского  раскольника.	Человек
По бороде Авраам, а по делам Хам.	Человек
Седина в бороду, а бес в ребро.	Человек
Борода нижегородка, а ум макарьевскни.	Человек
Под носом взошло, а в голове и не засеяно.	Человек
Волос долог (у бабы), а ум короток.	Человек
Ни голосу, ни волосу не верь! Шерстью все прикроешь.	Человек
Подавайся по рукам (когда дерут), легче будет волосам.	Человек
Волосы становятся дыбом. Ощетинился волос.	Человек
Ухватиться за волосы; рвать волосы (выйти из себя).	Человек
Волос в волос, голос в голос. Волос в волос, лицо в лицо.	Человек
Глядит, как сова, выпучив глаза.	Человек
Один глаз на полицу, другой в солоницу (о косом).	Человек
Один глаз на печь, другой в Галич.	Человек
Один глаз на нас, другой на Арзамас (стар. о мордве).	Человек
Один в Кесово, другой в Разлисово (два села Каш. у., Твер.  губ.)	Человек
Один глаз на мельницу, другой на кузницу.	Человек
И косое око видит далеко. Смотрит в кучку, а глядит врознь.	Человек
Косые счастливы. Кривые моты. Немые говорливы. Слепые  мудрены. Хромые баски (т. е. щеголи). Косолапые драчливы.	Человек
Кос, как Соловей-разбойник (который одним глазом на Киев,  другим на Чернигов глядел).	Человек
Плес крутой, глаз кривой — далече берут.	Человек
Слепому все копеечки. Слепой курице все пшеница.	Человек
Слеп, как крот, как медяница (змея, о коей говорили, что она  слепа).	Человек
Дальше носу не видит. Слепая курица.	Человек
Надень очки! Возьми глаза в руки (в зубы)!	Человек
Косой — не кривой. Косой — не слепой. Кривой — не слепой.	Человек
Кривой не беда, а горе криводушный.	Человек
С косым не толкуй о кривом! С кривым о косом не беседуй!	Человек
У кривого один глаз, а видит больше (дальше) нас.	Человек
Слепой и в горшке дороги не найдет.	Человек
Не верь ушам, верь очам! Не верь речам, верь своим глазам!	Человек
Паче слуха видение. Свой глаз алмаз (или: смотрок).	Человек
Глаз не видит, и ухо не слышит. Не видишь, так и не бредишь.	Человек
Глаза, что плошки, а не видят ни крошки.	Человек
Глаза сусального золота (тупоумные). Оловянные глаза.	Человек
Зрячий не видит, а невишной (слепой) налапает (нащупает).	Человек
Подслеповатый с придурью, пучеглазый с дурью.	Человек
Аль глаза в очешник схоронил? Аль глаза отсидел?	Человек
Гляди в оба! Слушай в оба, зри в три!	Человек
Вынь глаза-то с ножней (из ножен).	Человек
Говорит, слеп, а в избе печь нащупал. Еще то не слеп, коли в  избе печь нащупал.	Человек
Овин прогорел, а слепой проглядел.	Человек
Хороший, дурной глаз. Черный глаз, карий глаз — минуй нас!	Человек
Глаз черный, взгляд бойкий, обычай волчий.	Человек
Как ворон зырит (зорко глядит). Соколом глядит.	Человек
Ты зенок мой, зеница ока, ненаглядный.	Человек
Как глаз береги. Дороже глаза. Око мое ненаглядное.	Человек
Правда глаза колет. Правда, как оса, лезет в глаза.	Человек
Ни глаза во лбу, ни зуба во рту.	Человек
На глаз (т. е. на глазомер). Пройти на глаз (или: на  прогляд, по уровню).	Человек
Заглазное дело — не слышно. За глазами дело.	Человек
За глазами, что за горами. Позаочью — что ночью.	Человек
Сытых глаз на свете нет. Брюхо сыто, да глаза голодны.	Человек
Видом не видать, слыхом не слыхать.	Человек
Глазами гляди (Языком болтай), а рукам воли не давай!	Человек
Не глаза видят, а человек; не ухо слышит, а душа.	Человек
Уши — как папуши, а глаза — как бураки.	Человек
На то два уха, чтоб больше слухать.	Человек
Глухой — половина спасенья (не слышит беззаконий).	Человек
Уши — благодать божия, язык — проклятие.	Человек
Глухому много чуется, а слепому много видится.	Человек
Про глухого семью (семь раз) обедни не служат.	Человек
Заросли, что ль, у тебя уши? Аль ты бородой оброс, не  слышишь?	Человек
Расковырять, что ль, тебе уши-то. Давно, видно,оплеух не  едал, так уши залегли?	Человек
Затоковал, что глухарь (т. е. свое толкует, не слышит).	Человек
Глухому с немым нечего толковать.	Человек
Глух, как тетерев (как мошник). Глухая тетеря.	Человек
Он ухом задернул (т. е. не хочет слушать). Он на это ухо  глух.	Человек
У него на эту речь ухо заложило. Он заложил уши.	Человек
Глухой недослышит, так догадается.	Человек
Носом (Рылом) смерять (т. е. упасть). Носом наткнулся.	Человек
Это пахнет бедой (или: тем и тем).	Человек
А знаешь ли, чем это пахнет (т. е. чего ожидать).	Человек
Понюхай, чем пахнет (прочхайся да оклемайся)!	Человек
Не разевай рта: ворона влетит (и карета четверней въедет).	Человек
Суконный язык; язык с подбоем (о картавом или косноязычном).	Человек
И заика ложку мимо ушей не проносит.	Человек
У него язык длинен (долог). Язык свой враг злой.	Человек
Язык мой — враг мой (наперед ума лепечет).	Человек
Ни на меру, ни на вес, а при всяком есть (язык, речь).	Человек
Чего завсе хочется? (дышать). Чего всегда хочется? (ничего  не делать).	Человек
Чего над собою не видишь? (росту).	Человек
Что в воде не тонет, на огне не горит? (имя).	Человек
Без чего человеку жить нельзя? (без имени).	Человек
На поле Арском, на рубеже татарском, два орла орлуют, одним  языком балуют (крестины).	Человек
Во поле Епифанском, под деревом царским, три орла орлуют,  одним яйцом даруют (крестины).	Человек
Чем тебя мать родила? (Ответ: мальчиком либо девочкой).	Человек
Стоит град ни на воде, ни на земле, в том граде воевода нем  (ребенок в зыбке).	Человек
Лубен город, отрепьин город, а в том городе воевода нем  (ребенок в зыбке).	Человек
Утром на четырех ногах, в полдень на двух, под вечер на трех  (человек).	Человек
Три года — яйцо, тридцать лет — медведь, шестьдесят лет —  курица (младенец, середовой и старик).	Человек
Одного не знаю, другого не вижу, третьего не помню (смерть,  возраст и рождение).	Человек
Ни рыба, ни баран; сахар не бывал, на блюде не лежал, всяк  меня едал (кушал груди).	Человек
Ни гусь, ни баран, ножом не рушан, на блюде не лежал, всяк  его едал (груди).	Человек
Пришел гость из гостей, съел барана без костей; гость сыт и  баран цел (то же).	Человек
Пришли гости без вестей, убили барана без костей; гости  сыты, баран цел (кормилица с ребенком).	Человек
Ни печено, ни варено, на блюде не бывало, ножом не рушано, а  всяким кушано (груди).	Человек
Сахарный кусочек, на блюде не лежал, всяк его едал (груди).	Человек
Белый лебедь, никем не рушан, всяк его кушал (грудь).	Человек
Два комка, третья лакомка (груди и младенец).	Человек
Разница между школьником и огнем? (Огонь высекут, да и  разложат; а школьника сперва разложат, а там высекут).	Человек
Разница между каретой и деревней? (Карету заложат да поедут,  а деревню — поедут да и заложат).	Человек
Что слаще и что горче? (слово).	Человек
Царь видит редко, бог никогда, а мы завсегда (своего брата).	Человек
Пришел милый, да и повалил силой (сон).	Человек
Сорок недель в тюрьме сидел, два года на виселице висел  (человек).	Человек
Сорок недель сидел я в темнице, шесть недель в больнице,  двадцать недель меня вязали да год на виселице держали (человек).	Человек
Сидит живая живуличка на живом стульчике, теребит живое  мясцо (младенец).	Человек
За стеной, стеной барабанщик (или: каравашек) костяной  (младенец в утробе).	Человек
Стоит дуб, на дубу клуб, на клубе семь дыр (человек).	Человек
Шелков клуб, семь дыр вокруг (то же).	Человек
Стоят вилы, на вилах-то зевало, на зевале-то мочало, на  мочале кочка, а в кочке-то роются дочки (т. е. свиньи, по-вятски: человек).	Человек
Стоят вилы, на вилах короб, на коробе махалы (грабли), на  махалах хапало (кивало, на кивале зевало), на хапале нюхало, на нюхале мигало,  на мигале роща, а в роще-то свиньи роются (человек).	Человек
Стоят вилы, на вилах грабли, на граблях ревун, на ревуне  сапун, на сапуне глядун, на глядуне роща, а в роще свиньи роются (человек).	Человек
Стоят вилы, на вилах-то бочка, на бочке-то кочка, у кочки  махало, на кочке зевало, повыше мигала, а там лядина, в лядине скотина  (человек).	Человек
Стоит расоха, на расохе бебень, на бебене махало, на махале  зевало, на зевале чихало, на чихале мигало, на мигале остров (лес), в острову  звери (человек).	Человек
У двух матерей по пяти сыновей (пальцы). У двух матерей по  пяти сыновей, все в одно имя (то же).	Человек
Пять братьев родных, пять двоюродных, у них по пяти  внучатных (пальцы).	Человек
